sat_id,altitude,velocity,inclination,eccentricity,raan,perigee,anomaly
43281,1021.7592759932165,7.383235053390215,1.106496857862357,0.0229769,4.40194901166171,0.1147484170016192,6.175334431381849
43280,1266.6192734414249,7.1396199085693475,1.1065073298378691,0.0228136,4.47972262845983,0.10433054669646503,6.185249646862428
43273,3611.863920049377,7.314535316205593,0.048776716605485534,0.5553309,0.07604574083864493,2.125149549142588,5.313126072933382
43270,634.4584255382867,7.54130229095447,1.706685917025923,0.0006203,2.0928941192364805,1.017013827112608,5.269339252659349
43266,548.0048917588902,7.595082291937206,1.7125973472024278,0.0024338,3.5065514721573194,1.9395494911562585,4.350316936399962
43265,605.3063267049839,7.555660524998015,1.7072130064600255,0.0004386,2.3367707209469,0.5811108651100161,5.704683709301302
43263,623.8974536022452,7.5650638968090576,1.7052599830270436,0.0042565,1.280106503887485,1.7582970483366474,4.535372451659669
43261,593.7337439067468,7.562335456955514,1.7072898009471131,0.0003265,2.354360149148499,0.8612431913721138,5.4245636003439675
43214,846.5989530422789,7.429127256616786,1.7235754681974724,0.0054365,2.109881408846141,6.189735143040053,0.09447816306895704
43213,860.1700394158958,7.409724955780682,1.7235457976001884,0.0053978,2.1207914620003576,6.150562973308293,0.13323843509724712
43191,936.559008260988,7.376629749199697,1.2219887851253257,0.0018598,0.7540311060806063,0.4261971860322513,5.86044910905404
43177,22687.715532561946,3.1183355666000194,0.3697706913152746,0.7045845,1.097925545905813,0.3449660719859312,6.24162727236035
43151,938.5649307234647,7.373938018554164,1.4405214607675358,0.002942,4.680753142363041,5.659352272639254,0.6224280444924778
43117,773.4385547961596,7.476313589585069,1.292418056431053,0.0020033,1.8606623542953666,0.26414860097233384,6.022089287068991
43089,397.139430656715,8.189964359761493,0.8790979096200159,0.1546856,1.6983589511646582,0.2048004250875186,6.135914424896305
43069,748.9187551992806,7.478439241330647,1.7155696429185743,0.0026952,2.1306595535911335,2.924636010262134,3.3618043359724217
43068,468.646661498496,7.65438655159417,1.710092799725816,0.010997,3.2673436261959847,2.9965400847857966,3.2920435257702088
43000,34318.83968227334,2.983365766170732,0.2503587545523266,0.1381119,0.8062356493370085,4.28125774855705,1.7399641098736989
42999,776.8075614029989,7.466317776662862,1.41775364067527,0.0029665,2.072719858412678,4.810979139171345,1.4683699343123573
42981,16408.158985178812,3.0434875006886846,1.1458069086050253,0.5524752,3.486288199541665,5.591675385563921,1.8465478766344887
42980,8008.209394737985,4.446118315679541,1.1353157344712874,0.5646308,5.491811136423309,0.0847374805135767,6.2652921916881406
42979,6291.219972251651,4.9560090623138615,1.1260689800942216,0.5684214,3.5020031441266224,0.04739092517940203,6.2736348655126735
42978,3233.4063741455598,6.16054559482565,1.1423337033935568,0.5547322,4.896353664861899,5.957850698620087,0.08008443272775981
42977,9298.70296959934,4.805573943487284,1.1333574750505497,0.5668927,5.66462665763878,1.0255257978745842,6.0259272660941265
42976,2181.1808546429393,7.525355430754891,1.1395080153345778,0.5684384,6.027115835314735,0.9923278901724,6.028159542207427
42974,17995.955818006783,2.7683076151225454,1.13086339954945,0.5718293,4.212781500684304,5.759687760677903,0.12091117459041116
42973,812.9988505245403,9.230925046044977,1.1008926056342034,0.5544076,5.173958754367111,0.6234316088123745,6.127559533767008
42944,11524.968932805741,3.9504893063583615,0.8678405359446524,0.5147797,6.012727340961293,5.944509401817843,0.09434377271655349
42936,9891.050057082963,4.469990269247211,0.8638699118963653,0.5140335,5.173593980553443,0.5418409569401437,6.129482886602705
42908,751.3097334415671,9.753574380588963,0.847971707739949,0.7105958,4.782898536836009,5.660361072946905,0.07998320363114414
42817,10620.255481077424,4.69296764294882,0.04922003023549209,0.5816472,1.4676718026115596,2.1598816012572746,5.33272786576253
42751,5911.552246116178,5.706784186586402,0.8679504916875281,0.4563287,0.5091823559768257,3.546788292732797,2.219800499807492
