sat1,sat2,altitude,velocity,inclination,eccentricity,raan,perigee,anomaly
56259.0,55533.0,-0.3619021267331748,-0.4411471101621597,-0.7088334221270001,-0.4157934979877166,-0.9874223565101587,-1.155447319175876,-1.1404658954928766
60876.0,32107.0,-0.3625545792542007,-0.4381098303619863,-0.2532881479794745,-0.4132017001145265,-0.7235015568491776,-0.0858934466824315,-0.1009212893311944
57579.0,40580.0,-0.361172943365228,-0.4389474792995823,-0.7050431952805047,-0.4155530714688677,-0.9379760273115348,-0.9212159336748476,-0.9164912522227436
14471.0,36986.0,-0.2918163362693391,-0.2690611345568112,-0.5617780740467746,-0.3979111077968959,-0.0257408214761467,-1.1783197266568382,-0.7459731842055354
49485.0,30946.0,-0.3620899158917176,-0.4324173658613164,-0.7034616617762112,-0.3866778465551272,0.9831300036663024,1.1600604975558877,-0.0587358099442199
54632.0,54576.0,-0.3618134267465801,-0.4378688981417798,-0.7083380567477826,-0.4181486093101288,-0.9951770254000628,-1.2692745557490863,-1.251264579336862
30895.0,29898.0,-0.2872397983527651,-0.0500443167509061,-0.6856012403053144,-0.3046101243301254,-0.6647973528843779,-1.186443009926655,-1.2085901412983115
40509.0,30064.0,-0.3591423492681474,-0.4288685455356238,-0.7089970290412372,-0.3980008670305995,-0.9985570083458926,-0.6484766125501809,-0.3410119661974818
61435.0,35552.0,0.256633364275522,-0.0634238324593509,2.180078389199329,3.510769594272136,0.2712215138776526,0.1659738496462891,1.1562807014418406
48731.0,47102.0,-0.362603010082044,-0.4396195400708551,-0.6909320989275447,-0.3744700564902912,1.566354926315428,-0.2994644519719355,1.3678451603169612
38704.0,36047.0,3.566683177784429,2.699579069520244,2.5202217085350265,-0.3131580884969297,0.5794757355097334,1.0198038590344995,0.9536242197825132
60785.0,60664.0,-0.3624939371657795,-0.4331015676832025,-0.7069246747942322,-0.411707850010746,-0.9922810122986712,-1.1806341625961585,-1.1623917161851507
57569.0,29795.0,-0.2941704247493703,-0.2176645437753188,0.0337374598672037,-0.3742488640929503,-0.6425916120726638,0.1788898586665571,0.8741406695347859
42410.0,32411.0,-0.3594455153037968,-0.4200091256031071,-0.6915683480384668,-0.37190123270668,0.8809633004228133,-0.9127911137659348,-0.913277628657486
56262.0,54530.0,-0.3612108286247743,-0.4343349615434775,-0.7085062082985257,-0.4132353598271653,-0.989537773088265,-1.2743028214402647,-1.2568522114999725
40695.0,34028.0,-0.3624516721649544,-0.2784733777475535,0.4514759029164096,-0.2802607950634252,-0.4721294038689677,0.1775778898179652,-1.0841060601840462
43214.0,30339.0,-0.3608073438260285,-0.4403030801432817,-0.6993351318282283,-0.4065899708461846,-0.6853080841026702,1.1037402806175405,-0.3224358934166715
